Altium Designer Pick and Place Locations
C:\Users\john lin\SVN\MB1360\Trunk\03-Manufacturing\MB1360C_PCB\Assembly\MB1360-CBoard_Assembly_Revision_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       19/06/18
Time:       13:53
Revision:   Not in VersionControl
Variant:    MB1360-C01
Units used: mm

Designator Comment                                                                                             Layer       Footprint                                              Center-X(mm) Center-Y(mm) Rotation Description                                                                   
SB29       SB_OFF                                                                                              BottomLayer SOLDER-BRIDGE_R0603-0R                                 38.6842      16.9426      270      "Solder Bridge OFF"                                                           
SB30       SB_OFF                                                                                              BottomLayer SOLDER-BRIDGE_R0603-0R                                 37.0078      16.9584      270      "Solder Bridge OFF"                                                           
D2         BAT60JFILM                                                                                          TopLayer    DIO_SOD323                                             29.4386      68.8086      270      BAT60JFILM                                                                    
SB13       SB_ON                                                                                               BottomLayer SOLDER-BRIDGE_R0603-0R                                 14.8852      67.3100      180      "Solder Bridge ON"                                                            
U4         DFN8?and?SO8?are?mixed?in?a?single?footprint?allowing?to?swap?according?to?components?availability? TopLayer    MOS_SOT23-5L                                           52.8320      60.1472      0        "Enhanced single channel power switches"                                      
R24        Resistor                                                                                            TopLayer    R0603                                                  56.1340      60.5282      270      Resistor,47K,0603,1%,1/10W                                                    
R18        Resistor                                                                                            TopLayer    R0603                                                  53.6194      64.3382      270      Resistor,1K,0603,1%,1/10W                                                     
LD2        LED_red                                                                                             TopLayer    LED_0603_RED                                           55.1942      64.2874      270      "LED, Red, 0603"                                                              
C9         Capacitor                                                                                           TopLayer    C0603                                                  51.8922      56.5912      90       "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0603, T=0,8mm"                        
C8         Capacitor                                                                                           TopLayer    C0603                                                  49.9872      60.5536      270      "Capacitor, MLCC, 1uF, 6V3, X5R, 10%, 0603, T=0,8mm"                          
R5         Resistor                                                                                            TopLayer    R0603                                                  23.1394      68.8086      270      Resistor,100K,0603,1%,1/10W                                                   
R6         Resistor                                                                                            TopLayer    R0603                                                  25.9080      68.8086      90       Resistor,4K7,0603,1%,1/10W                                                    
R7         Resistor                                                                                            TopLayer    R0603                                                  27.4574      68.8086      270      Resistor,2K7,0603,1%,1/10W                                                    
T2         BSN20                                                                                               BottomLayer MOS_SOT23                                              42.4102      33.8176      270      "N-channel enhancement mode field-effect transistor"                          
U5         LD1117S50TR                                                                                         TopLayer    REG_SOT223-TAB                                         10.9220      38.4810      0        "IC REG LDO 5V 0.8A SOT223"                                                   
X2         XTAL_32K_NX3215SA                                                                                   TopLayer    CRY_NX3215SA_2P                                        11.2522      21.6408      90       "Crystal 32.768kHz, 6pF, -+20PPM, R=50K, SMD"                                 
LD1        LD_BICOLOR_CMS                                                                                      TopLayer    LED_BI-GR_HSMF-A201-A00J1                              49.5554      72.8218      180      "LED Bicolor"                                                                 
X1         XTAL_8M_NX3225GD                                                                                    TopLayer    CRY_NX3225GD_2P                                        16.2560      62.4332      270      "Crystal 8Mhz, 8pF, -+50PPM, SMD"                                             
T1         9013-SOT23                                                                                          TopLayer    NPN_SOT23                                              45.2374      73.1774      0        "NPN Bipolar Transistor"                                                      
U1         USBLC6-2SC6                                                                                         TopLayer    ESD_SOT23-6L                                           36.4998      69.2150      180      "Very low capacitance ESD protection"                                         
CN10       "Header 19x2"                                                                                       TopLayer    CON_SAMTEC_TSW-119-09-X-D                              54.6100      22.8600      270      "Header, 19x2, 2,54mm, VR, TH, Height 5.84mm/10.16mm"                         
CN7        "Header 19x2"                                                                                       TopLayer    CON_SAMTEC_TSW-119-09-X-D                              -6.3500      22.8600      270      "Header, 19x2, 2,54mm, VR, TH, Height 5.84mm/10.16mm"                         
